Participant_ID,Image,n_fixations,mean_fix_dur_ms,total_dwell_ms,dispersion_x,dispersion_y,dispersion_r,scanpath_len_px,image_is_true,Rating,condition
P01,true\carl-heinrich-bloch-view-of-the-forum-romanum-in-rome-to-the-left-in-the-foreground-the-temple-of-1.jpg,10.0,725.0251999998,7250.2519999979995,410.1774131334503,264.15603569502235,487.87695317462897,5018.1397748800855,True,4,familiar
P01,true\carmelite-church-in-warsaw-1780.jpg!Large.jpg,12.0,1017.0123333332413,12204.147999998895,403.7290530695516,219.12111028449385,459.3595642465128,5312.842363375478,True,3,familiar
P01,true\colosseum-and-arch-of-constantine-rome.jpg!Large.jpg,12.0,480.78966666692696,5769.476000003124,467.5301992859286,145.95120688271263,489.7818310583402,6369.280030488263,True,5,familiar
P01,true\eastern-wing-of-verkiai-palace-1848.jpg,7.0,509.2297142857985,3564.6080000005895,454.97078432357245,293.9203710727439,541.6526554163158,3872.014753087462,True,4,familiar
P01,true\poarta-templului-lama-peking-1915.jpg!Large.jpg,12.0,2328.6890000000917,27944.268000001102,501.0297259334855,249.29759593576463,559.6249436974153,4544.793965248981,True,2,unfamiliar
P01,true\rue-de-lyon.jpg!Large.jpg,12.0,163.63475000025574,1963.6170000030688,445.1872243249425,230.64668670034115,501.3876332619224,6254.072096559203,True,4,familiar
P01,true\san-giacomo-de-rialto.jpg!Large.jpg,11.0,244.39381818195795,2688.3320000015374,406.2430367324853,199.86358965376226,452.74591037680153,4025.9499723493263,True,2,unfamiliar
P01,true\san-marco-square-from-the-clock-tower-facing-the-procuratie-nuove.jpg!Large.jpg,9.0,916.3006666668581,8246.706000001723,600.4031650954948,250.7370628299025,650.6558501491049,4606.754024419046,True,3,familiar
P01,true\schloss-schonbrunn-1760.jpg,12.0,521.074166666646,6252.889999999752,543.628976443801,125.61476753745575,557.9529853426933,5032.633413005647,True,4,familiar
P01,true\seine-and-eiffel-tower-in-the-sunset-1910.jpg!Large.jpg,11.0,162.02600000013427,1782.286000001477,432.0481463644984,300.29279409210716,526.1571656460109,4777.088257976175,True,4,familiar
P01,true\taj-mahal-mausoleum-1876-1.jpg!Large.jpg,9.0,758.5391111109251,6826.8519999983255,445.36179948906585,164.6511514072551,474.8232661779262,4329.663597945511,True,5,familiar
P01,true\the-neuer-marktplatz-in-dresden-1747.jpg!Large.jpg,10.0,253.7954000001264,2537.954000001264,281.9376032413831,175.15049733681658,331.91340563289964,3276.710479914166,True,3,familiar
P01,true\the-pantheon-and-the-piazza-della-rotonda-in-rome-1835.jpg!Large.jpg,13.0,144.08061538415495,1873.0479999940144,519.9691359863954,287.552340328992,594.1836843999664,6562.367857812429,True,5,familiar
P01,true\the-ruins-of-the-chinese-shrine-ak-kent-1870.jpg!Large.jpg,10.0,241.6750000002139,2416.750000002139,534.2235245961234,141.43925092980945,552.629926746182,6783.427314425835,True,1,unfamiliar
P01,true\the-world-trade-center-huile-sur-toile-97x130cm-2011-4624x3439-1280x952-640x476.jpg,10.0,199.42529999971157,1994.2529999971157,640.5475571818148,285.1676109906168,701.1574283780257,6813.490710622858,True,2,unfamiliar
P02,false\a-view-of-mount-etna-and-a-nearby-town.jpg!Large.jpg,8.0,286.9807500001116,2295.8460000008927,313.60581554297266,30.72813629302971,315.1076417708971,3572.1606641380654,False,3,familiar
P02,false\american-village.jpg!Large.jpg,4.0,3368.2647499999803,13473.058999999921,231.00156519052913,25.131575504040672,232.36462555171684,957.0085705750787,False,3,familiar
P02,false\berliner-stra-e-im-sonnenschein-1920.jpg!Large.jpg,11.0,167.51436363649026,1842.6580000013928,431.91338505275013,89.86124520952148,441.16234605679,6025.101544259485,False,3,familiar
P02,false\boulevard-montmartre-morning-grey-weather-1897.jpg!Large.jpg,8.0,857.1612500004449,6857.290000003559,372.356410852402,103.62992187509387,386.5080302021173,3657.602013927846,False,3,familiar
P02,false\little-cobbler-s-shop.jpg,9.0,919.6356666662824,8276.720999996542,413.6763369536137,209.40515557722946,463.65788134969023,5115.334216436042,False,2,unfamiliar
P02,false\new-york-1957.jpg!Large.jpg,6.0,1394.62416666629,8367.74499999774,426.28758675191887,147.05511532143248,450.9393679431577,2735.1672234890684,False,3,familiar
P02,false\ng-m-03667.jpg!Large.jpg,9.0,1413.0671111108516,12717.603999997664,327.1829145433337,139.09646979676353,355.52283678969536,3168.9660198098613,False,3,familiar
P02,false\paris-in-the-morning.jpg!Large.jpg,10.0,1782.2552000001451,17822.55200000145,392.64305837278755,131.83312550898214,414.1841912359805,5829.4636698544655,False,3,familiar
P02,false\paris-wagram-avenue-1925.jpg!Large.jpg,11.0,156.55100000003586,1722.0610000003944,316.87670352695915,116.92154256598421,337.759518524825,4299.600389868209,False,2,unfamiliar
P02,false\port-at-dieppe-1909.jpg!Large.jpg,5.0,381.0934000000998,1905.467000000499,231.85705968130512,69.0131675002125,241.91013499329182,1114.750024637736,False,2,unfamiliar
P02,false\the-watering-place-at-marly-le-roi-hoarfrost-1875.jpg!Large.jpg,10.0,111.76959999993414,1117.6959999993414,315.73397180985717,39.57315965693653,318.20429902825174,3820.553362966779,False,2,unfamiliar
P02,false\view-of-venice-the-ducal-palace-dogana-and-part-of-san-giorgio-1841.jpg,7.0,901.8724285716806,6313.107000001764,558.6705054879042,138.87159996388613,575.6718292383604,5954.403218523415,False,3,familiar
P02,false\vor-dem-caf-berlin-bei-nacht-1920.jpg,12.0,158.60491666671805,1903.2590000006167,253.14287316435028,56.0289413284808,259.2692741153349,3665.3458101629953,False,2,unfamiliar
P02,false\westminster-bridge-from-the-north-on-lord-mayor-s-day-1746.jpg!Large.jpg,7.0,232.93442857097293,1630.5409999968106,383.6759380719465,156.0030697442373,414.17892658247774,2915.548250796657,False,2,unfamiliar
P02,false\winter-in-new-york-3x-101x51cm-hst-rehaussee-argent-2015-640x410.jpg,10.0,670.6104999999297,6706.104999999297,327.196338159786,132.252702048867,352.91390012919504,3703.712156044348,False,3,familiar
P02,true\carl-heinrich-bloch-view-of-the-forum-romanum-in-rome-to-the-left-in-the-foreground-the-temple-of-1.jpg,8.0,974.1385000002083,7793.108000001666,269.11243566466896,185.19091942430185,326.67595513993507,3056.913584928558,True,2,unfamiliar
P02,true\carmelite-church-in-warsaw-1780.jpg!Large.jpg,11.0,167.61236363642885,1843.7360000007175,322.08304192507114,206.25532719576347,382.4640452282261,3870.498963031659,True,3,familiar
P02,true\colosseum-and-arch-of-constantine-rome.jpg!Large.jpg,2.0,4621.541499999694,9243.082999999388,262.87520383503687,100.6986331816284,281.50237568439866,398.1044775331228,True,3,familiar
